,lengthofresidence,demo_currently_lives_in_address,is_business,ownrent,solarPotential.financialAnalyses.financialDetails.remainingLifetimeUtilityBill,householdincome,federalIncentive,solarPotential.financialAnalyses.financialDetails.costOfElectricityWithoutSolar,presenceofchildren,politicalparty,potential_age,is_apartment,maritalstatus,solarPotential.financialAnalyses.financialDetails.federalIncentive,solarPotential.financialAnalyses.leasingSavings.annualLeasingCost,solarPotential.financialAnalyses.cashPurchaseSavings.paybackYears,solarPotential.financialAnalyses.leasingSavings.savings.savingsYear20,demo_gender,education,remainingLifetimeUtilityBill,solarPotential.roofSegmentStats,solarPotential.financialAnalyses.leasingSavings.leasesAllowed,solarPotential.wholeRoofStats.areaMeters2,is_public_entity,solarPotential.maxSunshineHoursPerYear,solarPotential.financialAnalyses.leasingSavings.savings.savingsLifetime,solarPotential.financialAnalyses.financialDetails.utilityIncentive,householdsize,solarPotential.maxArrayAreaMeters2,solarPotential.financialAnalyses.financialDetails.percentageExportedToGrid,solarPotential.financialAnalyses.financialDetails.solarPercentage,solarPotential.financialAnalyses.leasingSavings.savings.savingsYear1,solarPotential.financialAnalyses.cashPurchaseSavings.outOfPocketCost,solarPotential.maxArrayPanelsCount,solarPotential.financialAnalyses.financialDetails.netMeteringAllowed,solarPotential.financialAnalyses.financialDetails.stateIncentive,solarPotential.financialAnalyses.leasingSavings.leasesSupported,solar_installed
solarPotential.financialAnalyses.leasingSavings.annualLeasingCost,0.2137212229408593,0.02123987176691653,0.09259279319941437,0.26635295001216036,-0.12424689220639856,0.22364121228472442,0.9392479949886151,0.6666668006279558,0.21311570786027043,0.28212172467667446,-0.18755214952929805,-0.08034053963383045,0.3369915384247961,0.9392479949886151,1.0,0.7180935112396492,-0.7890308066880263,0.2274330848820536,0.2797568255288733,-0.12424689220639862,0.03405741481492468,-0.1648802439708699,0.018763410157076606,0.09194760427039626,-0.14421606991489494,-0.7890308066880263,0.008136532952725631,-0.005578233297726183,0.017977627289220647,0.007116918227822878,0.34457675079855493,-0.8588301472966975,0.935155829253111,0.017977627092635406,-0.023123702005830367,0.8581623416128842,0.0425451567783367,-0.4072193269210624
solarPotential.financialAnalyses.cashPurchaseSavings.paybackYears,0.11334167601020474,0.023857631522160846,0.0967911040255319,0.16660572299392856,-0.09119115942996965,0.11375398032566392,0.7044286350613997,0.1792535723730322,0.13089071338310287,0.2540337285772294,-0.06768495220071695,-0.06691614126937136,0.2707880725237333,0.7044286350613997,0.7180935112396492,1.0,-0.8045299838281755,0.22993861698419504,0.22619697664052274,-0.09119115942996965,0.07510340011351696,-0.25413218629140205,0.032419647447010945,0.07041065050854099,0.0666554040074221,-0.8045299838281755,0.12953732081686414,-0.027287851724256323,0.02857676346426876,-0.03187927770709443,0.26558515240005676,-0.8145678901645743,0.6993602766703048,0.028576763329066123,0.032176438022465434,0.8960383719654272,0.015608778184422502,-0.2617674561282979
solarPotential.financialAnalyses.leasingSavings.savings.savingsYear20,-0.06180632130530075,-0.013368249550767049,-0.1308001334323772,-0.08918031176762632,-0.1309799032310195,-0.03458444402778107,-0.7854610724755529,-0.16850782441410603,-0.07016626702806843,-0.2162730027834855,0.04839482489766154,0.06555461636312186,-0.22114147881274868,-0.7854610724755529,-0.7890308066880263,-0.8045299838281755,1.0,-0.19312350883847737,-0.18081753848587678,-0.13097990323101952,-0.015381758475344683,0.3084513285195204,-0.012000862993097161,-0.09599380517259104,0.06381238966065313,1.0,0.09446890638409491,0.03232026937872315,-0.012120176251157697,-0.04068635166909936,-0.051052967839982054,0.9923169809048638,-0.7801639776810169,-0.012120176008985233,0.09176279726427605,-0.7414024958566285,-0.07154017390660991,0.26071560550319756
demo_gender,0.42561568775948205,-0.06982085221386788,-0.18135186957797034,0.573203507312206,-0.07464983314664894,0.4914065806107052,0.1445683324481041,0.11089991056140898,0.40077304378084555,0.46580109629360683,0.030596857354723388,-0.024687500214070096,0.4953131242904784,0.1445683324481041,0.2274330848820536,0.22993861698419504,-0.19312350883847737,1.0,0.40679823225178285,-0.07464983314664891,0.04261699782955895,-0.20585677292294277,-0.007370020366975402,-0.12511903861200194,0.1612193010721887,-0.1931235088384774,0.01811215341634957,-0.04640769301569278,-0.011270930024158094,0.01809755231523399,-0.017267945620031023,-0.2062220681936931,0.13390653195885746,-0.011270929792010796,0.09760092573595301,0.034301069185848146,0.10246662099745146,-0.33720720731531306
education,0.4680544159098592,-0.10837500713927015,-0.1339122093772204,0.5450127379558442,-0.0614022621399397,0.4823695490852661,0.2505588221222466,0.22317656624909415,0.418820924902578,0.6932996704138636,0.17522003206364567,-0.0007148548164995198,0.7447241063502236,0.2505588221222466,0.2797568255288733,0.22619697664052274,-0.18081753848587678,0.40679823225178285,1.0,-0.061402262139939684,0.062377874711223705,-0.04415591936490001,-0.0033810685989967048,-0.08943262544622775,-0.028789879054646132,-0.18081753848587684,0.03503385821167457,0.05992063500697082,-0.01088971891542718,0.02473680837910498,0.05896576306376044,-0.20597671773310336,0.24535144959274668,-0.010889718749241783,0.06874995050847917,0.035774505195750636,0.07574589900637274,-0.23173434019363506
remainingLifetimeUtilityBill,-0.060948176102699196,-0.025585008116604444,0.06910212285827189,-0.0910969851805677,1.0,-0.06365736271261761,-0.1937365660448879,0.12858239448911474,-0.07297226588451745,-0.08971124287493346,-0.018921764732807763,0.021146238482956967,-0.07757381348639544,-0.1937365660448879,-0.12424689220639862,-0.09119115942996965,-0.13097990323101952,-0.07464983314664891,-0.061402262139939684,1.0,-0.11822649805067813,0.10654628218721209,-0.054135273767575036,0.057890826328614885,-0.1230474015539146,-0.1309799032310195,-0.1340709294547031,0.013163507151605374,-0.04694481412960008,0.14225808623297378,-0.850245104162922,-0.08419960212668913,-0.19499590315696083,-0.04694481424401304,-0.24071659366570994,-0.51509354264092,0.01000055364062014,0.0562191078634703
solarPotential.roofSegmentStats,0.03905146831440808,-0.09699661857401423,0.006928355681007782,0.08680806498669844,-0.11822649805067813,0.10939221416074474,-0.005733942079426416,-0.020686507070650544,0.06308623606420186,0.047384634917712026,0.015833542972600503,0.13444504918535635,0.046794952668264014,-0.005733942079426416,0.03405741481492468,0.07510340011351696,-0.015381758475344683,0.04261699782955895,0.062377874711223705,-0.11822649805067813,1.0,-0.010461651327715843,0.47650236495377774,-0.010328527127097222,0.18153046057243213,-0.015381758475344696,0.06677578511086533,0.040872117729633034,0.38057224166278714,0.01861882139790419,0.09382381413225194,-0.020160996236878073,-0.006792084736020892,0.3805722441942949,0.02466366313596953,0.2262216392955702,0.03725522739350759,0.009750754801914518
solarPotential.financialAnalyses.leasingSavings.leasesAllowed,-0.03169061220680826,0.014619642048211201,0.09887398481503983,-0.07483573484018892,0.10654628218721209,0.054522276164315306,-0.08365555613848198,0.15738472417934307,-0.02545187163971702,-0.15342901096375405,-0.10889635286308609,-0.013046698195048551,-0.07871073901640455,-0.08365555613848198,-0.1648802439708699,-0.25413218629140205,0.3084513285195204,-0.20585677292294277,-0.04415591936490001,0.10654628218721209,-0.010461651327715843,1.0,-0.065837676735701,0.042722051168059355,-0.3752189658551782,0.3084513285195204,,0.09345223226613299,-0.07178746713713939,0.018982125094988228,0.06588485258707978,0.2888812117571559,-0.07753037007920568,-0.07178746683437315,0.4410613322309422,,0.45147958048793063,0.3737592606881777
solarPotential.wholeRoofStats.areaMeters2,-0.025845871660465668,-0.03984934867381408,0.004779676259064946,-0.02157489402930632,-0.054135273767575036,-0.010943974294684836,0.008887895582245325,-0.010197704239439153,-0.015999171685024304,-0.007048629739024757,0.004508773028684692,0.11937383999625008,-0.014915837777939627,0.008887895582245325,0.018763410157076606,0.032419647447010945,-0.012000862993097161,-0.007370020366975402,-0.0033810685989967048,-0.054135273767575036,0.47650236495377774,-0.065837676735701,1.0,0.01175281349737857,0.05197898987154125,-0.012000862993097161,0.029359698984492134,0.005749426043559171,0.9922043875297447,0.005600162476371545,0.04895351656140491,-0.01378426169505084,0.01028727893213882,0.9922043879553452,0.010318165069092108,0.10988832523799777,0.01392492948573641,-0.021329680036586328
is_public_entity,-0.10650496096362136,0.035789295197910506,0.11648334290581691,-0.14600685933806049,0.057890826328614885,-0.1302442058648653,0.09970983716142391,0.0670364234372856,-0.10225573612104819,-0.09763677336109573,0.013612026353931984,-0.009531936457329917,-0.11049188046504888,0.09970983716142391,0.09194760427039626,0.07041065050854099,-0.09599380517259104,-0.12511903861200194,-0.08943262544622775,0.057890826328614885,-0.010328527127097222,0.042722051168059355,0.01175281349737857,1.0,0.017096234060251923,-0.095993805172591,0.04517435371598003,0.003931853237224467,0.015130423335401802,-0.005037431760142765,0.018651632194814888,-0.09912958120160152,0.10321796773854806,0.015130423305823896,0.012451999931067931,0.22433342892502206,0.01235211146679163,0.08101705264430784
solarPotential.maxSunshineHoursPerYear,0.060059098632177406,-0.016521979505900446,0.04747376630516884,0.1499782450608826,-0.1230474015539146,0.07892869448423796,-0.2769854516500156,-0.23036085042285068,0.06037810654637027,0.04560710913466635,0.09802489220230037,-0.02643712713628546,-0.02013209041902062,-0.2769854516500156,-0.14421606991489494,0.0666554040074221,0.06381238966065313,0.1612193010721887,-0.028789879054646132,-0.1230474015539146,0.18153046057243213,-0.3752189658551782,0.05197898987154125,0.017096234060251923,1.0,0.06381238966065311,-0.11651250701138031,-0.05172643586192139,0.04208102133872772,0.04455586033725937,0.01808096948226413,0.08120402241473819,-0.2961131820733468,0.04208102175000934,-0.0046634751477385075,-0.5535117721342959,0.02455268033685828,0.04772212460270233
solarPotential.financialAnalyses.leasingSavings.savings.savingsLifetime,-0.06180632130530075,-0.013368249550767049,-0.1308001334323772,-0.08918031176762632,-0.1309799032310195,-0.03458444402778107,-0.7854610724755529,-0.16850782441410603,-0.07016626702806843,-0.2162730027834855,0.04839482489766154,0.06555461636312186,-0.22114147881274868,-0.7854610724755529,-0.7890308066880263,-0.8045299838281755,1.0,-0.1931235088384774,-0.18081753848587684,-0.1309799032310195,-0.015381758475344696,0.3084513285195204,-0.012000862993097161,-0.095993805172591,0.06381238966065311,1.0,0.09446890638409491,0.03232026937872315,-0.012120176251157697,-0.04068635166909936,-0.051052967839982054,0.9923169809048638,-0.7801639776810169,-0.012120176008985233,0.09176279726427605,-0.7414024958566285,-0.07154017390660991,0.26071560550319756
solarPotential.financialAnalyses.financialDetails.utilityIncentive,0.008286655874329866,-0.12492423621633429,0.046584566584685926,0.024045454183912105,-0.1340709294547031,0.023267107440456868,0.3077591438167345,0.16773388972131198,0.0266215462193376,0.013278597827806448,-0.03800508444381696,0.05730441334976713,0.026238203541576185,0.3077591438167345,0.008136532952725631,0.12953732081686414,0.09446890638409491,0.01811215341634957,0.03503385821167457,-0.1340709294547031,0.06677578511086533,,0.029359698984492134,0.04517435371598003,-0.11651250701138031,0.09446890638409491,1.0,-0.02748909850947398,0.02700411690890038,0.04719101128766794,0.10237736871578276,0.08095565101870979,0.3043648262302457,0.02700411664658246,-0.05012996063610655,0.29632928873997333,-0.8893749902982556,-0.016874817551355697
householdsize,0.05932737943341526,-0.012640191179149936,0.010019057229090684,-0.040073958997034614,0.013163507151605374,-0.01909566036809193,-0.0064580586099259865,0.036685982688274915,0.34822067774200266,0.04125728518108339,0.057301916090856296,-0.023675009859579085,0.07664454141456221,-0.0064580586099259865,-0.005578233297726183,-0.027287851724256323,0.03232026937872315,-0.04640769301569278,0.05992063500697082,0.013163507151605374,0.040872117729633034,0.09345223226613299,0.005749426043559171,0.003931853237224467,-0.05172643586192139,0.03232026937872315,-0.02748909850947398,1.0,-0.0036409678833512196,-0.0005063636790740562,0.016118246242872225,0.028200200289984254,-0.00510135169794636,-0.0036409663128041192,-0.005334202347011596,-0.15038980275903785,-0.003222207064640299,0.04045707414937831
solarPotential.maxArrayAreaMeters2,-0.029724656250194357,-0.02744057283450294,0.004861998292183923,-0.030758511083429065,-0.04694481412960008,-0.02253955943530656,0.0101821509170202,-0.008046309094670256,-0.022418716757956106,-0.01244649172967809,0.0039869725246170626,0.10300317792961923,-0.021034789188679782,0.0101821509170202,0.017977627289220647,0.02857676346426876,-0.012120176251157697,-0.011270930024158094,-0.01088971891542718,-0.04694481412960008,0.38057224166278714,-0.07178746713713939,0.9922043875297447,0.015130423335401802,0.04208102133872772,-0.012120176251157697,0.02700411690890038,-0.0036409678833512196,1.0,0.0038055982820227956,0.042871050271065386,-0.013689576315954397,0.011705823132864326,0.9999999999999984,0.005888554989984182,0.10360061095935619,0.007935171280489064,-0.022865894311710145
solarPotential.financialAnalyses.financialDetails.percentageExportedToGrid,0.00986632090623187,-0.22796386302364427,-0.011119857391800906,0.02323765175834954,0.14225808623297378,0.02220763409957258,-0.0058417536322207435,0.03327446189864965,0.009487183911019114,0.02046392482024361,0.017748794005660155,0.02655598350296976,0.029394389296465647,-0.0058417536322207435,0.007116918227822878,-0.03187927770709443,-0.04068635166909936,0.01809755231523399,0.02473680837910498,0.14225808623297378,0.01861882139790419,0.018982125094988228,0.005600162476371545,-0.005037431760142765,0.04455586033725937,-0.04068635166909936,0.04719101128766794,-0.0005063636790740562,0.0038055982820227956,1.0,-0.03345684235320509,-0.03266127753321247,-0.00472144871419607,0.0038055981962608412,-0.6344821892001765,,0.0005255370200947512,0.009534964899844355
